"filename", "language", "Python", "Shell Script", "Markdown", "JSON", "comment", "blank", "total"
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/.mypy_cache/3.8/types.data.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/.mypy_cache/3.8/types.meta.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/.mypy_cache/3.8/typing.data.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/.mypy_cache/3.8/typing.meta.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/fortest.py", "Python", 8, 0, 0, 0, 0, 5, 13
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/fortest/toimport.py", "Python", 2, 0, 0, 0, 0, 1, 3
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/justTest.sh", "Shell Script", 0, 1, 0, 0, 1, 1, 3
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/lib.py", "Python", 201, 0, 0, 0, 1, 42, 244
"/Users/wik/Desktop/Developer/python/testing-tool/testing-tool/main.py", "Python", 175, 0, 0, 0, 5, 39, 219
"Total", "-", 386, 1, 21, 41, 7, 99, 555
